2026-02-19 18:27:52 | INFO     | voice.wake_word | Wake score peak=0.004 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:27:56 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:00 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:28:04 | INFO     | voice.wake_word | Wake score peak=0.004 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:28:08 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:28:12 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:16 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:20 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=17143.4
2026-02-19 18:28:24 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:28:28 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:28:32 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:28:36 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:28:40 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:44 | INFO     | voice.wake_word | Wake score peak=0.004 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:48 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:28:52 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:28:56 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=16145.7
2026-02-19 18:29:00 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:29:04 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:29:08 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10440.3
2026-02-19 18:29:12 | INFO     | voice.wake_word | Wake score peak=0.005 current=0.000 threshold=0.120 soft_threshold=0.072 rms=20118.4
2026-02-19 18:29:16 | INFO     | voice.wake_word | Wake score peak=0.002 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:29:20 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=14042.8
2026-02-19 18:29:24 | INFO     | voice.wake_word | Wake score peak=0.003 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
2026-02-19 18:29:28 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=10885.6
2026-02-19 18:29:32 | INFO     | voice.wake_word | Wake score peak=0.001 current=0.000 threshold=0.120 soft_threshold=0.072 rms=13720.7
