2026-09-18 18:32:24 | INFO     | voice.stt | Loading faster-whisper model 'small' on cpu (int8)...
2026-09-18 18:32:26 | INFO     | voice.stt | timing phase=stt_model_load duration_seconds=2.250
2026-09-18 18:32:26 | INFO     | jarvis.main | OpenWakeWord desactivado. Usando activacion por STT (frase con 'jarvis').
2026-09-18 18:32:26 | INFO     | jarvis.main | Modo escucha continua STT activo (sin wake word).
2026-09-18 18:32:26 | INFO     | jarvis.main | Jarvis listo. Esperando wake word... readiness_elapsed_seconds=6.360
2026-09-18 18:33:38 | INFO     | voice.tts | Loading XTTS model 'tts_models/multilingual/multi-dataset/xtts_v2' on cuda...
2026-09-18 18:33:38 | INFO     | TTS.utils.manage | tts_models/multilingual/multi-dataset/xtts_v2 is already downloaded.
2026-09-18 18:33:39 | INFO     | TTS.tts.models | Using model: xtts
2026-09-18 18:33:50 | INFO     | voice.tts | timing phase=tts_model_load duration_seconds=11.422
2026-09-18 18:33:50 | INFO     | TTS.utils.synthesizer | Text split into sentences.
2026-09-18 18:33:50 | INFO     | TTS.utils.synthesizer | Input: ['Jarvis a tu servicio']
2026-09-18 18:34:00 | INFO     | TTS.utils.voices | Generated voice from reference audio
2026-09-18 18:34:01 | INFO     | TTS.utils.synthesizer | Processing time: 11.199
2026-09-18 18:34:01 | INFO     | TTS.utils.synthesizer | Real-time factor: 5.705
2026-09-18 18:34:01 | INFO     | voice.tts | timing phase=synthesis duration_seconds=11.469
2026-09-18 18:34:04 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:04 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:07 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.062
2026-09-18 18:34:07 | INFO     | voice.stt | STT captured 2.97s audio in 3.08s (samples=47520, sample_rate=16000, rms=23).
2026-09-18 18:34:07 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.047
2026-09-18 18:34:09 | INFO     | voice.stt | STT transcription finished in 1.52s (chars=12).
2026-09-18 18:34:09 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:09 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:09 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:12 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.063
2026-09-18 18:34:12 | INFO     | voice.stt | STT captured 2.97s audio in 3.06s (samples=47520, sample_rate=16000, rms=21).
2026-09-18 18:34:12 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.047
2026-09-18 18:34:13 | INFO     | voice.stt | STT transcription finished in 1.34s (chars=12).
2026-09-18 18:34:13 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:13 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:13 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:14 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.515
2026-09-18 18:34:15 | INFO     | voice.stt | STT captured 1.41s audio in 1.52s (samples=22560, sample_rate=16000, rms=25).
2026-09-18 18:34:15 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.032
2026-09-18 18:34:16 | INFO     | voice.stt | STT transcription finished in 1.33s (chars=12).
2026-09-18 18:34:16 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:16 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:16 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:18 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.000
2026-09-18 18:34:18 | INFO     | voice.stt | STT captured 1.89s audio in 2.00s (samples=30240, sample_rate=16000, rms=23).
2026-09-18 18:34:18 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.032
2026-09-18 18:34:19 | INFO     | voice.stt | STT transcription finished in 1.30s (chars=12).
2026-09-18 18:34:19 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:19 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:19 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:21 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.250
2026-09-18 18:34:21 | INFO     | voice.stt | STT captured 2.10s audio in 2.27s (samples=33600, sample_rate=16000, rms=35).
2026-09-18 18:34:21 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
